Ort;Plz;Vorwahl;Bundesland
Friedrichswerth;99869;036254;Thüringen
Friedrich-Wilhelm-Lübke-Koog;25924;04668;Schlewig-Holstein
Frielendorf;34621;05684;Hessen
Friemar;99869;036258;Thüringen
Frienstedt;99192;036208;Thüringen
Frienstedt;99192;036208;Thüringen
Friesack;14662;033235;Brandenburg
Friesdorf;06543;034775;Sachsen-Anhalt
Friesenhagen;51598;02294;Rheinland-Pfalz
Friesenheim;55278;06737;Rheinland-Pfalz
Friesenheim;77948;07821;Baden-Württemberg
Friesenried;87654;08347;Bayern
Friesoythe;26169;04491;Niedersachsen
Frießnitz;07570;036603;Thüringen
Frimberg;83546;08073;Bayern
Friolzheim;71292;07044;Baden-Württemberg
Frittlingen;78665;07426;Baden-Württemberg
Fritzenweng;83379;08681;Bayern
Fritzlar;34560;05622;Hessen
Frohburg;04654;034348;Sachsen
Fröhden;14913;03372;Brandenburg
Fröhnd;79677;07673;Baden-Württemberg
Frohndorf;99610;03634;Thüringen
Frohnhofen;66903;06386;Rheinland-Pfalz
Frohnloh;82349;089;Bayern
Frohnsdorf;04618;034497;Thüringen
Frohnsdorf;14929;033748;Brandenburg
Froitshub;83552;08074;Bayern
Frömmstedt;99638;036375;Thüringen
Fröndenberg;58730;02373;Nordrhein-Westfalen
Fronderode;99735;036335;Thüringen
Fronhausen;35112;06426;Hessen
Fronhofen;55471;06761;Rheinland-Pfalz
Fronreute;88273;07505;Baden-Württemberg
Frontenhausen;84160;08732;Bayern
Frose;06464;034741;Sachsen-Anhalt
Fröttstädt;99880;03622;Thüringen
Frücht;56132;02603;Rheinland-Pfalz
Fuchsberg;85254;08134;Bayern
Fuchsenmühle;97828;09391;Bayern
Fuchshain;04683;034297;Sachsen
Fuchshäusle;73453;07366;Baden-Württemberg
Fuchshof;91344;09202;Bayern
Fuchshofen;53533;02693;Rheinland-Pfalz
Fuchsmühl;95689;09634;Bayern
Fuchsmühle;76877;;Rheinland-Pfalz
Fuchsstadt;97727;09732;Bayern
Fuchssteig;83364;08666;Bayern
Fuchstal;86925;08243;Bayern
Fuhlendorf;18356;038231;Mecklenburg-Vorpommern
Fuhlendorf;24649;04192;Schlewig-Holstein
Fuhlenhagen;21493;04156;Schlewig-Holstein
Fulda;36037;0661;Hessen
Fulda;36039;0661;Hessen
Fulda;36041;0661;Hessen
Fulda;36043;0661;Hessen
Fuldabrück;34277;0561;Hessen
Fuldatal;34233;05607;Hessen
Fulgenkoppel;18209;038203;Mecklenburg-Vorpommern
Fünfeichen;15890;033654;Brandenburg
Fünfmühlen;24861;04885;Schlewig-Holstein
Fünfstetten;86681;09092;Bayern
Fürfeld;55546;06709;Rheinland-Pfalz
Fürnsbach;85465;08762;Bayern
Fürst;83329;08681;Bayern
Fürstenau;01778;035054;Sachsen
Fürstenau;49584;05901;Niedersachsen
Fürstenberg;16798;033093;Brandenburg
Fürstenberg;37699;05271;Niedersachsen
Fürsteneck;94142;08555;Bayern
Fürstenfeldbruck;82256;08141;Bayern
Fürstenstein;94538;08504;Bayern
Fürstental;34516;;Hessen
Fürstenwalde;01778;035054;Sachsen
Fürstenwalde;15517;03361;Brandenburg
Fürstenwerder;17291;039859;Brandenburg
Fürstenzell;94081;08502;Bayern
Fürstlich Drehna;03246;035324;Brandenburg
Furt;83739;08064;Bayern
Furth;82041;089;Bayern
Furth;83552;08074;Bayern
Furth;84095;08704;Bayern
Fürth;64658;06253;Hessen
Fürth;90762;0911;Bayern
Fürth;90763;0911;Bayern
Fürth;90765;0911;Bayern
Fürth;90766;0911;Bayern
Fürth;90768;0911;Bayern
Furth im Wald;93437;09973;Bayern
Fürthen;57539;02682;Rheinland-Pfalz
Furtwangen;78120;07723;Baden-Württemberg
Füssen;87629;08362;Bayern
Fußgönheim;67136;06237;Rheinland-Pfalz
Fußstall;83714;08025;Bayern
Gaarz;19309;038758;Brandenburg
Gaarzerhof;18230;038296;Mecklenburg-Vorpommern
Gabermühle;91077;09134;Bayern
Gaberndorf;99428;03643;Thüringen
Gaberndorf;99428;03643;Thüringen
Gablenz;02953;03576;Sachsen
Gablenz;03058;035605;Brandenburg
Gablenz-Kromlau;02953;03576;Sachsen
Gablingen;86456;08230;Bayern
Gabsheim;55288;06732;Rheinland-Pfalz
Gachenbach;86565;08259;Bayern
Gackenbach;56412;06439;Rheinland-Pfalz
Gädebehn;19089;0385;Mecklenburg-Vorpommern
Gadebusch;19205;03886;Mecklenburg-Vorpommern
Gadegast;06918;035387;Sachsen-Anhalt
Gädheim;97503;09727;Bayern
Gadow;16909;033964;Brandenburg
Gadsdorf;15806;033703;Brandenburg
Gagel;39606;039391;Sachsen-Anhalt
Gägelow;19406;038485;Mecklenburg-Vorpommern
Gägelow;23968;03841;Mecklenburg-Vorpommern
Gager;18586;038308;Mecklenburg-Vorpommern
Gaggenau;76571;07225;Baden-Württemberg
Gagzow;23974;03841;Mecklenburg-Vorpommern
Gahlenz;09569;037292;Sachsen
Gahma;07356;036643;Thüringen
Gahro;03246;035324;Brandenburg
Gahry;03149;035695;Brandenburg
Gaiberg;69251;06223;Baden-Württemberg
Gaienhofen;78343;07735;Baden-Württemberg
Gaildorf;74405;07971;Baden-Württemberg
Gailingen;78262;07734;Baden-Württemberg
Gaimersheim;85080;08458;Bayern
Gaimersheim;85080;08458;Bayern
Gaisberg;83546;08073;Bayern
Gaißach;83674;08041;Bayern
Galenbeck;17153;039602;Mecklenburg-Vorpommern
Galenbeck;17337;039607;Mecklenburg-Vorpommern
Galenberg;56651;02655;Rheinland-Pfalz
Gallentin;23996;038423;Mecklenburg-Vorpommern
Gallin;19258;038842;Mecklenburg-Vorpommern
Gallin;19386;038732;Mecklenburg-Vorpommern
Gallinchen;03058;0355;Brandenburg
Gallmersgarten;91605;09843;Bayern
Gallschütz;01665;035244;Sachsen
Gallun;15749;033764;Brandenburg
Galm;14715;;Brandenburg
Galmsbüll;25899;04667;Schlewig-Holstein
Galow;16278;033338;Brandenburg
Gamlen;56761;02653;Rheinland-Pfalz
Gammelby;24340;04351;Schlewig-Holstein
Gammelin;19230;038850;Mecklenburg-Vorpommern
Gammelsdorf;85408;08766;Bayern
Gammelshausen;73108;07164;Baden-Württemberg
Gammertingen;72501;07574;Baden-Württemberg
Gamstädt;99192;036202;Thüringen
Gandenitz;17268;03987;Brandenburg
Ganderkesee;27777;04222;Niedersachsen
Gandesbergen;27324;04254;Niedersachsen
Gangelt;52538;02454;Nordrhein-Westfalen
Gangkofen;84140;08722;Bayern
Gangloffsömmern;99634;036376;Thüringen
Gänsberg;83329;08681;Bayern
Gantenbeck;23948;03881;Mecklenburg-Vorpommern
Ganzer;16845;033974;Brandenburg
Ganzlin;19395;038737;Mecklenburg-Vorpommern
Gapel;14727;03386;Brandenburg
Gappenach;56294;02654;Rheinland-Pfalz
Garbsen;30823;05131;Niedersachsen
Garbsen;30826;05131;Niedersachsen
Garbsen;30827;05131;Niedersachsen
Garching;84518;08634;Bayern
Garching;85748;089;Bayern
Gardelegen;39638;03907;Sachsen-Anhalt
Garding;25836;04862;Schlewig-Holstein
Garding, Kirchspiel;25836;04862;Schlewig-Holstein
Garlin;19357;038797;Brandenburg
Garlipp;39579;039324;Sachsen-Anhalt
Garlitz;14715;033878;Brandenburg
Garlitz;19249;038855;Mecklenburg-Vorpommern
Garlstorf;21376;040;Niedersachsen
Garmisch-Partenkirchen;82467;08821;Bayern
Garnbach;06571;034672;Thüringen
Garrel;49681;04474;Niedersachsen
Garrey;14823;033843;Brandenburg
Gars;83536;08073;Bayern
Gars Bahnhof;83555;08073;Bayern
Garsedow;19322;03877;Brandenburg
Garstedt;21441;04173;Niedersachsen
Garthe;49685;04435;Niedersachsen
Gartow;16845;033979;Brandenburg
Gartow;29471;05846;Niedersachsen
Gärtringen;71116;07034;Baden-Württemberg
Gartz;16307;033332;Brandenburg
Garvensdorf;18233;038294;Mecklenburg-Vorpommern
Garvsmühlen;18230;038296;Mecklenburg-Vorpommern
Garz;16845;033928;Brandenburg
Garz;17419;038376;Mecklenburg-Vorpommern
Garz;18574;038304;Mecklenburg-Vorpommern
Garz;39524;039382;Sachsen-Anhalt
Garzau;15345;033435;Brandenburg
Garzin;15345;033435;Brandenburg
Gastemühle;56332;;Rheinland-Pfalz
Gasteyers Mühle;56379;06439;Rheinland-Pfalz
Gasthafen;25899;04661;Schlewig-Holstein
Gastrose-Kerkwitz;03172;035692;Brandenburg
Gatersleben;06466;039482;Sachsen-Anhalt
Gatow;16306;03332;Brandenburg
Gattendorf;95185;09281;Bayern
Gatterstädt;06268;034771;Sachsen-Anhalt
Gau-Algesheim;55435;06725;Rheinland-Pfalz
Gau-Bickelheim;55599;06701;Rheinland-Pfalz
Gau-Bischofsheim;55296;06135;Rheinland-Pfalz
Gauchshausen;73494;07967;Baden-Württemberg
Gauern;07580;036608;Thüringen
Gauernitz;01665;0351;Sachsen
Gauersheim;67294;06355;Rheinland-Pfalz
Gäufelden;71126;07032;Baden-Württemberg
Gaugrehweiler;67822;06362;Rheinland-Pfalz
Gau-Heppenheim;55234;06731;Rheinland-Pfalz
Gaukönigshofen;97253;09337;Bayern
Gau-Odernheim;55239;06733;Rheinland-Pfalz
Gaushorn;25782;04838;Schlewig-Holstein
Gaußig;02633;035930;Sachsen
Gauting;82131;08153;Bayern
Gau-Weinheim;55578;06732;Rheinland-Pfalz
Gaymühle, Gem Bauler;54673;;Rheinland-Pfalz
Gaymühle, Gem Berscheid;54673;;Rheinland-Pfalz
Gaymühle, Gem Biesdorf;54675;;Rheinland-Pfalz
Gaymühle, Gem Wallendorf;54675;;Rheinland-Pfalz
Gebenbach;92274;09622;Bayern
Gebersdorf;15936;035451;Brandenburg
Gebersdorf;98743;036703;Thüringen
Gebesee;99189;036201;Thüringen
Gebhardshain;57580;02747;Rheinland-Pfalz
Gebhardshütte;64711;;Hessen
Gebroth;55595;06756;Rheinland-Pfalz
Gebsattel;91607;09861;Bayern
Gebstedt;99510;036463;Thüringen
Gechingen;75391;07056;Baden-Württemberg
Gedern;63688;06045;Hessen
Geelbek;24882;;Schlewig-Holstein
Geesow;16307;033333;Brandenburg
Geeste;49744;05907;Niedersachsen
Geestgottberg;39615;039397;Sachsen-Anhalt
Geesthacht;21502;04152;Schlewig-Holstein
Gefell;07926;036649;Thüringen
Gefell;54552;02692;Rheinland-Pfalz
Gefell;96524;036764;Thüringen
Gefrees;95482;09254;Bayern
Gehaus;36404;036965;Thüringen
Geheege;07819;036482;Thüringen
Gehlberg;98559;036845;Thüringen
Gehlberg;98559;036845;Thüringen
Gehlert;57627;02662;Rheinland-Pfalz
Gehlmühle;76887;;Rheinland-Pfalz
Gehlweiler;55490;06765;Rheinland-Pfalz
Gehofen;06571;03466;Thüringen
Gehrde;49596;05439;Niedersachsen
Gehrden;30989;05108;Niedersachsen
Gehrden;39264;039247;Sachsen-Anhalt
Gehren;15926;035455;Brandenburg
Gehren;98708;036738;Thüringen
Gehrendorf;39359;039002;Sachsen-Anhalt
Gehrhof;25361;04824;Schlewig-Holstein
Gehringswalde;09429;037369;Sachsen
Gehrweiler;67724;06302;Rheinland-Pfalz
Geichlingen;54675;06566;Rheinland-Pfalz
Geiersthal;94244;09923;Bayern
Geigant;93449;09975;Bayern
Geilenkirchen;52511;02451;Nordrhein-Westfalen
Geilnau;56379;06439;Rheinland-Pfalz
Geilsdorf;99326;03629;Thüringen
Geisa;36419;036967;Thüringen
Geisbüschhof;56729;02651;Rheinland-Pfalz
Geiselbach;63826;06024;Bayern
Geiselberg;67715;06307;Rheinland-Pfalz
Geiselhöring;94333;09423;Bayern
Geiselwind;96160;09556;Bayern
Geisenfeld;85290;08452;Bayern
Geisenhain;07646;036428;Thüringen
Geisenhausen;84144;08743;Bayern
Geisenheim;65366;06722;Hessen
Geisenhofen;82282;08145;Bayern
Geisfeld;54413;06586;Rheinland-Pfalz
Geisig;56357;06776;Rheinland-Pfalz
Geising;01778;035056;Sachsen
Geisingen;78187;07704;Baden-Württemberg
Geisleden;37308;036084;Thüringen
Geislingen;72351;07433;Baden-Württemberg
Geislingen;73312;07331;Baden-Württemberg
Geislinger Weg;73345;;Baden-Württemberg
Geismar;36419;036967;Thüringen
Geismar;37308;036082;Thüringen
Geitersdorf;07407;03672;Thüringen
Geithain;04643;034341;Sachsen
Gelbensande;18182;038201;Mecklenburg-Vorpommern
Gelchsheim;97255;09335;Bayern
Geldern;47608;02831;Nordrhein-Westfalen
Geldersheim;97505;09721;Bayern
Geleitshäuser;04720;034325;Sachsen
Gelenau;09423;03721;Sachsen
Gelenberg;53539;02692;Rheinland-Pfalz
Gellmersdorf;16278;033338;Brandenburg
Gelmeroda;99428;03643;Thüringen
Gelmeroda;99428;03643;Thüringen
Gelnhausen;63571;06051;Hessen
Gelsenkirchen;45879;0209;Nordrhein-Westfalen
Gelsenkirchen;45881;0209;Nordrhein-Westfalen
Gelsenkirchen;45883;0209;Nordrhein-Westfalen
Gelsenkirchen;45884;0209;Nordrhein-Westfalen
Gelsenkirchen;45886;0209;Nordrhein-Westfalen
Gelsenkirchen;45888;0209;Nordrhein-Westfalen
Gelsenkirchen;45889;0209;Nordrhein-Westfalen
Gelsenkirchen;45891;0209;Nordrhein-Westfalen
Gelsenkirchen;45892;0209;Nordrhein-Westfalen
Gelsenkirchen;45894;0209;Nordrhein-Westfalen
Gelsenkirchen;45896;0209;Nordrhein-Westfalen
Gelsenkirchen;45897;0209;Nordrhein-Westfalen
Gelsenkirchen;45899;0209;Nordrhein-Westfalen
Geltendorf;82269;08193;Bayern
Gelting;24395;04643;Schlewig-Holstein
Geltorf;24884;04621;Schlewig-Holstein
Geltow;14542;033209;Brandenburg
Gemmerich;56357;06776;Rheinland-Pfalz
Gemmingen;75050;07267;Baden-Württemberg
Gemmrigheim;74376;07143;Baden-Württemberg
Gemünd;54673;06524;Rheinland-Pfalz
Gemünden;35285;06453;Hessen
Gemünden;35329;06634;Hessen
Gemünden;55490;06765;Rheinland-Pfalz
Gemünden;56459;02663;Rheinland-Pfalz
Gemünden;97737;09351;Bayern
Genderkingen;86682;09090;Bayern
Gengenbach;77723;07803;Baden-Württemberg
Genschmar;15328;033472;Brandenburg
Genshagen;14974;03378;Brandenburg
Gensingen;55457;06727;Rheinland-Pfalz
Gentha;06918;035387;Sachsen-Anhalt
Genthin;39307;03933;Sachsen-Anhalt
Gentingen;54675;06566;Rheinland-Pfalz
Genzkow;17099;039601;Mecklenburg-Vorpommern
Georgenberg;92697;09658;Bayern
Georgensgmünd;91166;09172;Bayern
Georgenthal;99887;036253;Thüringen
Georgenzell;98590;036968;Thüringen
Georgsdorf;49828;05946;Niedersachsen
Georgsmarienhütte;49124;05401;Niedersachsen
Gera;07545;0365;Thüringen
Gera;07546;0365;Thüringen
Gera;07548;0365;Thüringen
Gera;07549;0365;Thüringen
Gera;07551;0365;Thüringen
Gera;07552;0365;Thüringen
Gera;07554;0365;Thüringen
Gera;07557;0365;Thüringen
Geraberg;98716;03677;Thüringen
Gerabronn;74582;07952;Baden-Württemberg
Gerach;55743;06785;Rheinland-Pfalz
Gerach;96161;09544;Bayern
Geratskirchen;84552;08728;Bayern
Gerbach;67813;06361;Rheinland-Pfalz
Gerbershausen;37318;036081;Thüringen
Gerbisbach;06922;03537;Sachsen-Anhalt
Gerbitz;06429;034721;Sachsen-Anhalt
Gerblinghausen;82041;08170;Bayern
Gerbrunn;97218;0931;Bayern
Gerbstedt;06347;034783;Sachsen-Anhalt
Gerdau;29581;05808;Niedersachsen
Gerdshagen;16928;033986;Brandenburg
Gerdshagen;18239;038295;Mecklenburg-Vorpommern
Gerer;83546;08073;Bayern
Geretsried;82538;08171;Bayern
Gerhardsbrunn;66894;06375;Rheinland-Pfalz
Gerhardshofen;91466;09163;Bayern
Gerichshain;04827;034292;Sachsen
Gerichtsmannsmühle;55743;;Rheinland-Pfalz
Gering;56751;02654;Rheinland-Pfalz
Geringswalde;09326;037382;Sachsen
Gerlebogk;06420;034691;Sachsen-Anhalt
Gerlingen;70839;07156;Baden-Württemberg
Germaringen;87656;08341;Bayern
Germendorf;16767;03301;Brandenburg
Germering;82110;089;Bayern
Germersheim;76726;07274;Rheinland-Pfalz
Germerswang;82216;08141;Bayern
Gernrode;06507;039485;Sachsen-Anhalt
Gernrode;37339;036076;Thüringen
Gernsbach;76593;07224;Baden-Württemberg
Gernsheim;64579;06258;Hessen
Gernstedt;06648;034467;Sachsen-Anhalt
Geroda;07819;036482;Thüringen
Geroda;97779;09747;Bayern
Gerold;82493;08823;Bayern
Geroldsgrün;95179;09288;Bayern
Geroldshausen;97256;09366;Bayern
Gerolfingen;91726;09854;Bayern
Gerolsbach;85302;08445;Bayern
Gerolsheim;67229;06238;Rheinland-Pfalz
Gerolstein;54568;06591;Rheinland-Pfalz
Gerolzhofen;97447;09382;Bayern
Gerschweiler;89537;;Baden-Württemberg
Gersdorf;04703;034328;Sachsen
Gersdorf;09355;037203;Sachsen
Gersdorf;18230;038294;Mecklenburg-Vorpommern
Gersdorf;83565;08092;Bayern
Gersdorf-Möhrsdorf;01920;03578;Sachsen
Gersfeld;36129;06654;Hessen
Gersheim;66453;06843;Saarland
Gersten;49838;05904;Niedersachsen
Gerstenberg;04617;03447;Thüringen
Gerstengrund;36419;036967;Thüringen
Gerstetten;89547;07323;Baden-Württemberg
Gersthofen;86368;0821;Bayern
Gerstungen;99834;036922;Thüringen
Gerswalde;17268;039887;Brandenburg
Gerterode;37355;036076;Thüringen
Gertewitz;07389;03647;Thüringen
Gerthausen;98617;036943;Thüringen
Gertitzsch;04741;034325;Sachsen
Gerwisch;39175;039292;Sachsen-Anhalt
Gerzen;84175;08744;Bayern
Geschendorf;23815;04553;Schlewig-Holstein
Gescher;48712;02542;Nordrhein-Westfalen
Geschwenda;98716;036205;Thüringen
Gesees;95494;09201;Bayern
Geseke;59590;02942;Nordrhein-Westfalen
Geslau;91608;09867;Bayern
Gesotz, Gem Feuerscheid;54597;;Rheinland-Pfalz
Gesotz, Gem Hargarten;54597;;Rheinland-Pfalz
Gesotz, Gem Plütscheid;54597;;Rheinland-Pfalz
Gessertshausen;86459;08238;Bayern
Gestecke;34305;;Hessen
Gestratz;88167;08383;Bayern
Getelo;49843;05942;Niedersachsen
Gettengrün;08626;037430;Sachsen
Gettorf;24214;04346;Schlewig-Holstein
Geusa;06217;03461;Sachsen-Anhalt
Geußnitz;06712;034423;Sachsen-Anhalt
Gevelsberg;58285;02332;Nordrhein-Westfalen
Gevelsberg;58285;02332;Nordrhein-Westfalen
Gevenich;56825;02678;Rheinland-Pfalz
Gevensleben;38384;05354;Niedersachsen
Geversdorf;21784;04752;Niedersachsen
Geyer;09468;037346;Sachsen
Giebelstadt;97232;09334;Bayern
Gieboldehausen;37434;05528;Niedersachsen
Gieckau;06618;034445;Sachsen-Anhalt
Giekau;24321;04385;Schlewig-Holstein
Gielde;38315;05339;Niedersachsen
Gieleroth;57610;02681;Rheinland-Pfalz
Gielert;54424;06504;Rheinland-Pfalz
Gielow;17139;039957;Mecklenburg-Vorpommern
Gielsdorf;15345;03341;Brandenburg
Giengen;89537;07322;Baden-Württemberg
Gierschnach;56294;02605;Rheinland-Pfalz
Giershausen;57632;02685;Rheinland-Pfalz
Giersleben;06449;034746;Sachsen-Anhalt
Gierstädt;99100;036206;Thüringen
Gierstling;83364;08666;Bayern
Giesdorf;54614;06551;Rheinland-Pfalz
Gieselauschleuse;24797;04332;Schlewig-Holstein
Giesen;31180;05121;Niedersachsen
Giesenhagen;16928;033986;Brandenburg
Giesenhausen;57612;02688;Rheinland-Pfalz
Giesenhorst;16845;033875;Brandenburg
Giesensdorf;15848;033675;Brandenburg
Giesensdorf;16928;03395;Brandenburg
Giesensdorf;23909;04541;Schlewig-Holstein
Gieseritz;29413;039033;Sachsen-Anhalt
Gieshof-Zelliner Loose;15324;033478;Brandenburg
Gieshübel;56377;02604;Rheinland-Pfalz
Gießen;35390;0641;Hessen
Gießen;35392;0641;Hessen
Gießen;35394;0641;Hessen
Gießen;35396;0641;Hessen
Gießen;35398;0641;Hessen
Gießhübelmühle;75031;;Baden-Württemberg
Gießmannsdorf;15926;03544;Brandenburg
Gießübel;98667;036874;Thüringen
Gifhorn;38518;05371;Niedersachsen
Gifizenmoos;78713;07422;Baden-Württemberg
Giggenhausen;85376;08165;Bayern
Gigling;83368;08621;Bayern
Gilching;82205;08105;Bayern
Gillenbeuren;56825;02677;Rheinland-Pfalz
Gillenfeld;54558;06573;Rheinland-Pfalz
Gillersdorf;98701;036781;Thüringen
Gilserberg;34630;06696;Hessen
Gilten;29690;05071;Niedersachsen
Gilzem;54298;06506;Rheinland-Pfalz
Gimbsheim;67578;06249;Rheinland-Pfalz
Gimbweiler;55767;06782;Rheinland-Pfalz
Gimritz;06198;034607;Sachsen-Anhalt
Gindorf;54657;06565;Rheinland-Pfalz
Gingen;73333;07162;Baden-Württemberg
Gingst;18569;038305;Mecklenburg-Vorpommern
Ginsheim-Gustavsburg;65462;06144;Hessen
Ginsweiler;67742;06364;Rheinland-Pfalz
Gipperath;54533;06574;Rheinland-Pfalz
Girgenrath;53547;02638;Rheinland-Pfalz
Girkenroth;56459;06435;Rheinland-Pfalz
Girod;56412;06485;Rheinland-Pfalz
Gischau;29416;039035;Sachsen-Anhalt
Gischow;19386;038731;Mecklenburg-Vorpommern
Gittelde;37534;05327;Niedersachsen
Gladau;39307;039342;Sachsen-Anhalt
Gladbach;54518;06508;Rheinland-Pfalz
Gladbeck;45964;02043;Nordrhein-Westfalen
Gladbeck;45966;02043;Nordrhein-Westfalen
Gladbeck;45968;02043;Nordrhein-Westfalen
Gladenbach;35075;06462;Hessen
Gladigau;39606;039392;Sachsen-Anhalt
Glaisin;19288;038754;Mecklenburg-Vorpommern
Glaitenhof;71549;07191;Baden-Württemberg
Glambeck;16775;033933;Brandenburg
Glambeck;18246;038462;Mecklenburg-Vorpommern
Glanbrücken;66887;06387;Rheinland-Pfalz
Glandorf;49219;05426;Niedersachsen
Glan-Münchweiler;66907;06383;Rheinland-Pfalz
Glasau;23719;04525;Schlewig-Holstein
Glasehausen;37308;036085;Thüringen
Glasewitz;18276;03843;Mecklenburg-Vorpommern
Glashagen;18209;038203;Mecklenburg-Vorpommern
Glashagen;23996;038423;Mecklenburg-Vorpommern
Glashütte;01768;035053;Sachsen
Glashütte;14827;033849;Brandenburg
Glashütte;23812;04320;Schlewig-Holstein
Glashütte;92690;09644;Bayern
Glashütte-Dittersdorf;01768;035053;Sachsen
Glashütte-Johnsbach;01768;035053;Sachsen
Glashütte-Luchau;01768;035053;Sachsen
Glashütten;61479;06174;Hessen
Glashütten;95496;09279;Bayern
Glashütte-Schlottwitz;01768;035053;Sachsen
Glasin;23992;038429;Mecklenburg-Vorpommern
Glasmühle;75385;07055;Baden-Württemberg
Glasow;17322;039749;Mecklenburg-Vorpommern
Glattbach;63864;06021;Bayern
Glatten;72293;07443;Baden-Württemberg
Glattenzainbach;71540;;Baden-Württemberg
Glau;14959;033731;Brandenburg
Glaubitz;01612;035265;Sachsen
Glauburg;63695;06041;Hessen
Glauchau;08371;03763;Sachsen
Glauzig;06369;034975;Sachsen-Anhalt
Glebitzsch;06794;034954;Sachsen-Anhalt
Glees;56653;02636;Rheinland-Pfalz
Gleichamberg;98646;03685;Thüringen
Gleichen;37130;05508;Niedersachsen
Gleima;07356;036643;Thüringen
Gleina;01594;035268;Sachsen
Gleina;06632;034464;Sachsen-Anhalt
Gleiritsch;92723;09655;Bayern
Gleißenberg;93477;09975;Bayern
Gleisweiler;76835;06345;Rheinland-Pfalz
Gleiszellen-Gleishorbach;76889;06343;Rheinland-Pfalz
Gletzow;19217;038872;Mecklenburg-Vorpommern
Glewitz;18513;038334;Mecklenburg-Vorpommern
Glien;14715;033230;Brandenburg
Glienecke;14793;033830;Brandenburg
Glienick;15806;03377;Brandenburg
Glienicke;15864;033677;Brandenburg
Glienicke;16548;033056;Brandenburg
Glienicke;16909;03394;Brandenburg
Glienig;15936;035452;Brandenburg
Glienke;17099;039606;Mecklenburg-Vorpommern
Glietz;15913;035471;Brandenburg
Glinde;21509;040;Schlewig-Holstein
Glinde;39249;039298;Sachsen-Anhalt
Glindenberg;39326;039201;Sachsen-Anhalt
Glindow;14542;03327;Brandenburg
Globig-Bleddin;06901;034927;Sachsen-Anhalt
Glonn;85625;08093;Bayern
Glöthe;39240;039266;Sachsen-Anhalt
Glött;89353;09075;Bayern
Glottertal;79286;07684;Baden-Württemberg
Glövzin;19357;038797;Brandenburg
Glowe;18551;038302;Mecklenburg-Vorpommern
Glöwen;19339;038787;Brandenburg
Glöwitz;18356;038231;Mecklenburg-Vorpommern
Glücksburg;24960;04631;Schlewig-Holstein
Glücksburg;25821;;Schlewig-Holstein
Glückstadt;25348;04124;Schlewig-Holstein
Glüsing;25779;04836;Schlewig-Holstein
Gmund;83703;08022;Bayern
Gnadau;39249;03928;Sachsen-Anhalt
Gnarrenburg;27442;04763;Niedersachsen
Gnaschwitz;02692;035930;Sachsen
Gnemern;18246;038464;Mecklenburg-Vorpommern
Gnetsch;06369;034978;Sachsen-Anhalt
Gneus;07646;036428;Thüringen
Gneven;19065;03860;Mecklenburg-Vorpommern
Gnevezow;17111;039994;Mecklenburg-Vorpommern
Gnevkow;17089;039993;Mecklenburg-Vorpommern
Gnevsdorf;19322;038791;Brandenburg
Gnevsdorf;19395;038737;Mecklenburg-Vorpommern
Gnewikow;16818;03391;Brandenburg
Gnewitz;18195;038228;Mecklenburg-Vorpommern
Gnoien;17179;039971;Mecklenburg-Vorpommern
Gnölbzig;06420;034691;Sachsen-Anhalt
Gnotzheim;91728;09833;Bayern
Gnutz;24622;04392;Schlewig-Holstein
Göbitz;06712;03441;Sachsen-Anhalt
Goch;47574;02823;Nordrhein-Westfalen
Gochsheim;97469;09721;Bayern
Göcklingen;76831;06349;Rheinland-Pfalz
Göda;02633;035930;Sachsen
Goddert;56244;02626;Rheinland-Pfalz
Goddin;19205;038871;Mecklenburg-Vorpommern
Godendorf;17237;039825;Mecklenburg-Vorpommern
Gödenroth;56290;06762;Rheinland-Pfalz
Gödenstorf;21376;0451;Niedersachsen
Godern;19065;03860;Mecklenburg-Vorpommern
Gödnitz;39264;039247;Sachsen-Anhalt
Göggenhofen;85655;08095;Bayern
Göggingen;73571;07175;Baden-Württemberg
Göhl;23758;04361;Schlewig-Holstein
Göhlen;15898;033656;Brandenburg
Göhlen;19288;038751;Mecklenburg-Vorpommern
Gohlis;01462;0351;Sachsen
Gohlis;01462;0351;Sachsen
Gohlis;01619;03525;Sachsen
Gohlitz;14641;033239;Brandenburg
Göhlsdorf;14542;033207;Brandenburg
Gohrau;06786;034905;Sachsen-Anhalt
Göhrde;29473;05862;Niedersachsen
Göhren;04603;03447;Thüringen
Göhren;17348;03963;Mecklenburg-Vorpommern
Göhren;18586;038308;Mecklenburg-Vorpommern
Göhren;19089;03863;Mecklenburg-Vorpommern
Göhren;19294;038755;Mecklenburg-Vorpommern
Göhren-Döhlen;07950;036622;Thüringen
Göhren-Lebbin;17213;039932;Mecklenburg-Vorpommern
Gohrisch;01824;035021;Sachsen
Gokels;25557;04872;Schlewig-Holstein
Golbitz;06420;034691;Sachsen-Anhalt
Golchen;17089;03965;Mecklenburg-Vorpommern
Golchen;19412;038483;Mecklenburg-Vorpommern
Goldbach;63773;06021;Bayern
Goldbach;99869;036255;Thüringen
Goldbeck;16845;033973;Brandenburg
Goldbeck;16909;03394;Brandenburg
Goldbeck;23948;038825;Mecklenburg-Vorpommern
Goldbeck;39596;039388;Sachsen-Anhalt
Goldberg;19399;038736;Mecklenburg-Vorpommern
Goldberg;23992;038429;Mecklenburg-Vorpommern
Goldebek;25862;04673;Schlewig-Holstein
